[2026-02-27 18:52:34] PURPLE_TRANS | E: 48.17x | D_ENDUR: 8.00019269
[2026-02-28 06:43:00] PURPLE_TRANS | E: 42.57x | D_ENDUR: 13.36498680
[2026-02-28 06:43:01] STABLE_SYNC | E: 41.15x | D_ENDUR: 13.36498680
[2026-02-28 06:43:02] PURPLE_TRANS | E: 48.64x | D_ENDUR: 13.36518135
[2026-02-28 06:43:03] PURPLE_TRANS | E: 49.10x | D_ENDUR: 13.36537774
[2026-02-28 06:43:04] STABLE_SYNC | E: 40.37x | D_ENDUR: 13.36537774
[2026-02-28 06:43:05] PURPLE_TRANS | E: 48.26x | D_ENDUR: 13.36557077
[2026-02-28 06:43:06] PURPLE_TRANS | E: 42.59x | D_ENDUR: 13.36574112
[2026-02-28 06:43:08] PURPLE_TRANS | E: 45.85x | D_ENDUR: 13.36592452
[2026-02-28 06:43:09] STABLE_SYNC | E: 40.07x | D_ENDUR: 13.36592452
[2026-02-28 06:43:10] PURPLE_TRANS | E: 44.46x | D_ENDUR: 13.36610236
[2026-02-28 06:43:11] PURPLE_TRANS | E: 48.89x | D_ENDUR: 13.36629791
[2026-02-28 06:43:12] PURPLE_TRANS | E: 47.07x | D_ENDUR: 13.36648618
[2026-02-28 06:43:13] PURPLE_TRANS | E: 43.00x | D_ENDUR: 13.36665816
[2026-02-28 06:43:14] PURPLE_TRANS | E: 46.58x | D_ENDUR: 13.36684450
[2026-02-28 06:43:15] STABLE_SYNC | E: 41.96x | D_ENDUR: 13.36684450
[2026-02-28 06:43:16] STABLE_SYNC | E: 40.14x | D_ENDUR: 13.36684450
[2026-02-28 06:43:17] PURPLE_TRANS | E: 45.13x | D_ENDUR: 13.36702501
[2026-02-28 06:43:18] PURPLE_TRANS | E: 48.92x | D_ENDUR: 13.36722069
[2026-02-28 06:43:19] PURPLE_TRANS | E: 48.40x | D_ENDUR: 13.36741428
[2026-02-28 06:43:20] STABLE_SYNC | E: 41.67x | D_ENDUR: 13.36741428
[2026-02-28 06:43:21] PURPLE_TRANS | E: 47.34x | D_ENDUR: 13.36760364
[2026-02-28 06:43:22] PURPLE_TRANS | E: 46.31x | D_ENDUR: 13.36778888
[2026-02-28 06:43:23] PURPLE_TRANS | E: 42.57x | D_ENDUR: 13.36795915
[2026-02-28 06:43:24] PURPLE_TRANS | E: 42.49x | D_ENDUR: 13.36812912
[2026-02-28 06:43:25] STABLE_SYNC | E: 41.59x | D_ENDUR: 13.36812912
[2026-02-28 06:43:26] PURPLE_TRANS | E: 44.55x | D_ENDUR: 13.36830730
[2026-02-28 06:43:27] PURPLE_TRANS | E: 42.83x | D_ENDUR: 13.36847862
[2026-02-28 06:43:28] PURPLE_TRANS | E: 43.64x | D_ENDUR: 13.36865319
[2026-02-28 06:43:29] PURPLE_TRANS | E: 42.74x | D_ENDUR: 13.36882415
[2026-02-28 06:43:30] PURPLE_TRANS | E: 49.28x | D_ENDUR: 13.36902126
[2026-02-28 06:43:31] PURPLE_TRANS | E: 43.50x | D_ENDUR: 13.36919525
[2026-02-28 06:43:32] PURPLE_TRANS | E: 44.61x | D_ENDUR: 13.36937370
[2026-02-28 06:43:33] PURPLE_TRANS | E: 46.60x | D_ENDUR: 13.36956011
[2026-02-28 06:43:34] PURPLE_TRANS | E: 45.17x | D_ENDUR: 13.36974077
[2026-02-28 06:43:35] STABLE_SYNC | E: 40.26x | D_ENDUR: 13.36974077
[2026-02-28 06:43:36] PURPLE_TRANS | E: 48.75x | D_ENDUR: 13.36993576
[2026-02-28 06:43:37] STABLE_SYNC | E: 40.50x | D_ENDUR: 13.36993576
[2026-02-28 06:43:39] PURPLE_TRANS | E: 46.32x | D_ENDUR: 13.37012105
[2026-02-28 06:43:40] PURPLE_TRANS | E: 45.76x | D_ENDUR: 13.37030408
[2026-02-28 06:43:41] PURPLE_TRANS | E: 45.01x | D_ENDUR: 13.37048414
[2026-02-28 06:43:42] PURPLE_TRANS | E: 49.34x | D_ENDUR: 13.37068149
[2026-02-28 06:43:43] PURPLE_TRANS | E: 48.36x | D_ENDUR: 13.37087491
[2026-02-28 06:43:44] STABLE_SYNC | E: 39.67x | D_ENDUR: 13.37087491
[2026-02-28 06:43:45] PURPLE_TRANS | E: 43.67x | D_ENDUR: 13.37104960
[2026-02-28 06:43:46] PURPLE_TRANS | E: 46.31x | D_ENDUR: 13.37123483
[2026-02-28 06:43:47] PURPLE_TRANS | E: 48.44x | D_ENDUR: 13.37142857
[2026-02-28 06:43:48] PURPLE_TRANS | E: 46.39x | D_ENDUR: 13.37161415
[2026-02-28 06:43:49] PURPLE_TRANS | E: 45.69x | D_ENDUR: 13.37179691
[2026-02-28 06:43:50] STABLE_SYNC | E: 39.17x | D_ENDUR: 13.37179691
[2026-02-28 06:43:51] PURPLE_TRANS | E: 44.88x | D_ENDUR: 13.37197641
[2026-02-28 06:43:52] PURPLE_TRANS | E: 43.66x | D_ENDUR: 13.37215106
[2026-02-28 06:43:53] PURPLE_TRANS | E: 47.52x | D_ENDUR: 13.37234114
[2026-02-28 06:43:54] PURPLE_TRANS | E: 45.49x | D_ENDUR: 13.37252311
[2026-02-28 06:43:55] PURPLE_TRANS | E: 47.16x | D_ENDUR: 13.37271174
[2026-02-28 06:43:56] PURPLE_TRANS | E: 46.34x | D_ENDUR: 13.37289711
[2026-02-28 06:43:57] PURPLE_TRANS | E: 49.11x | D_ENDUR: 13.37309355
[2026-02-28 06:43:58] PURPLE_TRANS | E: 46.79x | D_ENDUR: 13.37328073
[2026-02-28 06:43:59] PURPLE_TRANS | E: 44.42x | D_ENDUR: 13.37345839
[2026-02-28 06:44:00] STABLE_SYNC | E: 40.25x | D_ENDUR: 13.37345839
[2026-02-28 06:44:01] PURPLE_TRANS | E: 46.26x | D_ENDUR: 13.37364344
[2026-02-28 06:44:02] PURPLE_TRANS | E: 46.99x | D_ENDUR: 13.37383140
[2026-02-28 06:44:03] PURPLE_TRANS | E: 46.24x | D_ENDUR: 13.37401635
[2026-02-28 06:44:04] STABLE_SYNC | E: 41.92x | D_ENDUR: 13.37401635
[2026-02-28 06:44:05] STABLE_SYNC | E: 41.87x | D_ENDUR: 13.37401635
[2026-02-28 06:44:06] PURPLE_TRANS | E: 49.08x | D_ENDUR: 13.37421266
[2026-02-28 06:44:07] PURPLE_TRANS | E: 44.39x | D_ENDUR: 13.37439021
[2026-02-28 06:44:08] PURPLE_TRANS | E: 43.17x | D_ENDUR: 13.37456289
[2026-02-28 06:44:09] PURPLE_TRANS | E: 45.50x | D_ENDUR: 13.37474489
[2026-02-28 06:44:11] PURPLE_TRANS | E: 48.95x | D_ENDUR: 13.37494070
[2026-02-28 06:44:12] PURPLE_TRANS | E: 44.71x | D_ENDUR: 13.37511954
[2026-02-28 06:44:13] PURPLE_TRANS | E: 43.54x | D_ENDUR: 13.37529369
[2026-02-28 06:44:14] PURPLE_TRANS | E: 42.90x | D_ENDUR: 13.37546528
[2026-02-28 06:44:15] PURPLE_TRANS | E: 47.50x | D_ENDUR: 13.37565527
[2026-02-28 06:44:16] STABLE_SYNC | E: 39.49x | D_ENDUR: 13.37565527
[2026-02-28 06:44:17] STABLE_SYNC | E: 40.98x | D_ENDUR: 13.37565527
[2026-02-28 06:44:18] STABLE_SYNC | E: 40.35x | D_ENDUR: 13.37565527
[2026-02-28 06:44:19] STABLE_SYNC | E: 40.97x | D_ENDUR: 13.37565527
[2026-02-28 06:44:20] PURPLE_TRANS | E: 48.07x | D_ENDUR: 13.37584755
[2026-02-28 06:44:21] PURPLE_TRANS | E: 43.20x | D_ENDUR: 13.37602036
[2026-02-28 06:44:22] PURPLE_TRANS | E: 44.02x | D_ENDUR: 13.37619642
[2026-02-28 06:44:23] PURPLE_TRANS | E: 44.55x | D_ENDUR: 13.37637463
[2026-02-28 06:44:24] PURPLE_TRANS | E: 44.97x | D_ENDUR: 13.37655451
[2026-02-28 06:44:25] PURPLE_TRANS | E: 48.43x | D_ENDUR: 13.37674823
[2026-02-28 06:44:26] PURPLE_TRANS | E: 46.97x | D_ENDUR: 13.37693609
[2026-02-28 06:44:27] PURPLE_TRANS | E: 48.89x | D_ENDUR: 13.37713164
[2026-02-28 06:44:28] STABLE_SYNC | E: 39.08x | D_ENDUR: 13.37713164
[2026-02-28 06:44:29] PURPLE_TRANS | E: 44.13x | D_ENDUR: 13.37730817
[2026-02-28 06:44:30] PURPLE_TRANS | E: 45.18x | D_ENDUR: 13.37748890
[2026-02-28 06:44:31] STABLE_SYNC | E: 39.61x | D_ENDUR: 13.37748890
[2026-02-28 06:44:32] PURPLE_TRANS | E: 47.14x | D_ENDUR: 13.37767745
[2026-02-28 06:44:33] STABLE_SYNC | E: 39.41x | D_ENDUR: 13.37767745
[2026-02-28 06:44:34] PURPLE_TRANS | E: 43.33x | D_ENDUR: 13.37785075
[2026-02-28 06:44:35] PURPLE_TRANS | E: 48.22x | D_ENDUR: 13.37804363
[2026-02-28 06:44:36] PURPLE_TRANS | E: 45.05x | D_ENDUR: 13.37822383
[2026-02-28 06:44:37] PURPLE_TRANS | E: 46.62x | D_ENDUR: 13.37841031
[2026-02-28 06:44:38] PURPLE_TRANS | E: 44.30x | D_ENDUR: 13.37858749
[2026-02-28 06:44:39] PURPLE_TRANS | E: 48.52x | D_ENDUR: 13.37878157
[2026-02-28 06:44:40] PURPLE_TRANS | E: 43.85x | D_ENDUR: 13.37895697
[2026-02-28 06:44:42] STABLE_SYNC | E: 41.58x | D_ENDUR: 13.37895697
[2026-02-28 06:44:43] PURPLE_TRANS | E: 45.70x | D_ENDUR: 13.37913979
[2026-02-28 06:44:44] PURPLE_TRANS | E: 43.43x | D_ENDUR: 13.37931350
[2026-02-28 06:44:45] PURPLE_TRANS | E: 48.98x | D_ENDUR: 13.37950944
[2026-02-28 06:44:46] PURPLE_TRANS | E: 42.89x | D_ENDUR: 13.37968098
[2026-02-28 06:44:47] PURPLE_TRANS | E: 43.50x | D_ENDUR: 13.37985498
[2026-02-28 06:44:48] PURPLE_TRANS | E: 46.12x | D_ENDUR: 13.38003947
[2026-02-28 06:44:49] PURPLE_TRANS | E: 44.97x | D_ENDUR: 13.38021936
[2026-02-28 06:44:50] PURPLE_TRANS | E: 44.26x | D_ENDUR: 13.38039639
[2026-02-28 06:44:51] PURPLE_TRANS | E: 46.20x | D_ENDUR: 13.38058118
[2026-02-28 06:44:52] PURPLE_TRANS | E: 44.42x | D_ENDUR: 13.38075885
[2026-02-28 06:44:53] PURPLE_TRANS | E: 48.15x | D_ENDUR: 13.38095144
[2026-02-28 06:44:54] PURPLE_TRANS | E: 47.68x | D_ENDUR: 13.38114216
[2026-02-28 06:44:55] STABLE_SYNC | E: 41.31x | D_ENDUR: 13.38114216
[2026-02-28 06:44:56] PURPLE_TRANS | E: 42.40x | D_ENDUR: 13.38131178
[2026-02-28 06:44:57] PURPLE_TRANS | E: 48.66x | D_ENDUR: 13.38150643
[2026-02-28 06:44:58] STABLE_SYNC | E: 41.46x | D_ENDUR: 13.38150643
[2026-02-28 06:44:59] PURPLE_TRANS | E: 49.10x | D_ENDUR: 13.38170282
[2026-02-28 06:45:00] PURPLE_TRANS | E: 49.08x | D_ENDUR: 13.38189914
[2026-02-28 06:45:01] PURPLE_TRANS | E: 48.23x | D_ENDUR: 13.38209208
[2026-02-28 06:45:02] PURPLE_TRANS | E: 45.01x | D_ENDUR: 13.38227213
[2026-02-28 06:45:03] PURPLE_TRANS | E: 45.61x | D_ENDUR: 13.38245458
[2026-02-28 06:45:04] PURPLE_TRANS | E: 45.25x | D_ENDUR: 13.38263560
[2026-02-28 06:45:05] STABLE_SYNC | E: 40.76x | D_ENDUR: 13.38263560
[2026-02-28 06:45:06] PURPLE_TRANS | E: 46.44x | D_ENDUR: 13.38282136
[2026-02-28 06:45:07] STABLE_SYNC | E: 40.97x | D_ENDUR: 13.38282136
[2026-02-28 06:45:08] STABLE_SYNC | E: 40.81x | D_ENDUR: 13.38282136
[2026-02-28 06:45:09] PURPLE_TRANS | E: 46.08x | D_ENDUR: 13.38300568
[2026-02-28 06:45:10] STABLE_SYNC | E: 39.40x | D_ENDUR: 13.38300568
[2026-02-28 06:45:11] STABLE_SYNC | E: 41.93x | D_ENDUR: 13.38300568
[2026-02-28 06:45:12] PURPLE_TRANS | E: 47.30x | D_ENDUR: 13.38319487
[2026-02-28 06:45:13] PURPLE_TRANS | E: 45.29x | D_ENDUR: 13.38337604
[2026-02-28 06:45:15] PURPLE_TRANS | E: 48.27x | D_ENDUR: 13.38356910
[2026-02-28 06:45:16] PURPLE_TRANS | E: 47.10x | D_ENDUR: 13.38375751
[2026-02-28 06:45:17] PURPLE_TRANS | E: 44.92x | D_ENDUR: 13.38393720
[2026-02-28 06:45:18] STABLE_SYNC | E: 41.55x | D_ENDUR: 13.38393720
[2026-02-28 06:45:19] STABLE_SYNC | E: 40.90x | D_ENDUR: 13.38393720
[2026-02-28 06:45:20] PURPLE_TRANS | E: 45.77x | D_ENDUR: 13.38412028
[2026-02-28 06:45:21] PURPLE_TRANS | E: 46.90x | D_ENDUR: 13.38430789
[2026-02-28 06:45:22] STABLE_SYNC | E: 40.61x | D_ENDUR: 13.38430789
[2026-02-28 06:45:23] PURPLE_TRANS | E: 43.47x | D_ENDUR: 13.38448177
[2026-02-28 06:45:24] PURPLE_TRANS | E: 43.28x | D_ENDUR: 13.38465489
[2026-02-28 06:45:25] PURPLE_TRANS | E: 46.81x | D_ENDUR: 13.38484212
[2026-02-28 06:45:26] STABLE_SYNC | E: 40.93x | D_ENDUR: 13.38484212
[2026-02-28 06:45:27] STABLE_SYNC | E: 39.13x | D_ENDUR: 13.38484212
[2026-02-28 06:45:28] STABLE_SYNC | E: 40.08x | D_ENDUR: 13.38484212
[2026-02-28 06:45:29] PURPLE_TRANS | E: 45.69x | D_ENDUR: 13.38502489
[2026-02-28 06:45:30] PURPLE_TRANS | E: 43.40x | D_ENDUR: 13.38519851
[2026-02-28 06:45:31] STABLE_SYNC | E: 41.20x | D_ENDUR: 13.38519851
[2026-02-28 06:45:32] PURPLE_TRANS | E: 47.35x | D_ENDUR: 13.38538791
[2026-02-28 06:45:33] PURPLE_TRANS | E: 42.82x | D_ENDUR: 13.38555921
[2026-02-28 06:45:34] PURPLE_TRANS | E: 44.33x | D_ENDUR: 13.38573652
[2026-02-28 06:45:35] STABLE_SYNC | E: 40.79x | D_ENDUR: 13.38573652
[2026-02-28 06:45:36] PURPLE_TRANS | E: 45.44x | D_ENDUR: 13.38591830
[2026-02-28 06:45:37] PURPLE_TRANS | E: 48.78x | D_ENDUR: 13.38611342
[2026-02-28 06:45:38] PURPLE_TRANS | E: 43.82x | D_ENDUR: 13.38628872
[2026-02-28 06:45:39] PURPLE_TRANS | E: 48.02x | D_ENDUR: 13.38648080
[2026-02-28 06:45:40] PURPLE_TRANS | E: 44.15x | D_ENDUR: 13.38665742
[2026-02-28 06:45:41] PURPLE_TRANS | E: 43.64x | D_ENDUR: 13.38683199
[2026-02-28 06:45:42] PURPLE_TRANS | E: 43.04x | D_ENDUR: 13.38700415
[2026-02-28 06:45:44] PURPLE_TRANS | E: 49.04x | D_ENDUR: 13.38720032
[2026-02-28 06:45:45] PURPLE_TRANS | E: 45.09x | D_ENDUR: 13.38738066
[2026-02-28 06:45:46] PURPLE_TRANS | E: 47.20x | D_ENDUR: 13.38756945
[2026-02-28 06:45:47] PURPLE_TRANS | E: 42.43x | D_ENDUR: 13.38773916
[2026-02-28 06:45:48] PURPLE_TRANS | E: 44.01x | D_ENDUR: 13.38791519
[2026-02-28 06:45:49] STABLE_SYNC | E: 40.45x | D_ENDUR: 13.38791519
[2026-02-28 06:45:50] STABLE_SYNC | E: 39.70x | D_ENDUR: 13.38791519
[2026-02-28 06:45:51] PURPLE_TRANS | E: 43.35x | D_ENDUR: 13.38808858
[2026-02-28 06:45:52] STABLE_SYNC | E: 39.67x | D_ENDUR: 13.38808858
[2026-02-28 06:45:53] PURPLE_TRANS | E: 42.98x | D_ENDUR: 13.38826049
[2026-02-28 06:45:54] PURPLE_TRANS | E: 44.42x | D_ENDUR: 13.38843815
[2026-02-28 06:45:55] PURPLE_TRANS | E: 47.00x | D_ENDUR: 13.38862615
[2026-02-28 06:45:56] STABLE_SYNC | E: 39.67x | D_ENDUR: 13.38862615
[2026-02-28 06:45:57] STABLE_SYNC | E: 40.47x | D_ENDUR: 13.38862615
[2026-02-28 06:45:58] PURPLE_TRANS | E: 43.71x | D_ENDUR: 13.38880098
[2026-02-28 06:45:59] PURPLE_TRANS | E: 45.96x | D_ENDUR: 13.38898481
[2026-02-28 06:46:00] PURPLE_TRANS | E: 48.18x | D_ENDUR: 13.38917753
[2026-02-28 06:46:01] PURPLE_TRANS | E: 44.62x | D_ENDUR: 13.38935602
[2026-02-28 06:46:02] PURPLE_TRANS | E: 46.58x | D_ENDUR: 13.38954232
[2026-02-28 06:46:03] STABLE_SYNC | E: 40.54x | D_ENDUR: 13.38954232
[2026-02-28 06:46:04] STABLE_SYNC | E: 40.13x | D_ENDUR: 13.38954232
[2026-02-28 06:46:05] STABLE_SYNC | E: 40.82x | D_ENDUR: 13.38954232
[2026-02-28 06:46:06] PURPLE_TRANS | E: 46.97x | D_ENDUR: 13.38973020
[2026-02-28 06:46:07] PURPLE_TRANS | E: 42.42x | D_ENDUR: 13.38989988
[2026-02-28 06:46:08] PURPLE_TRANS | E: 45.25x | D_ENDUR: 13.39008088
[2026-02-28 06:46:09] STABLE_SYNC | E: 39.38x | D_ENDUR: 13.39008088
[2026-02-28 06:46:10] PURPLE_TRANS | E: 45.72x | D_ENDUR: 13.39026375
[2026-02-28 06:46:11] STABLE_SYNC | E: 39.37x | D_ENDUR: 13.39026375
[2026-02-28 06:46:12] PURPLE_TRANS | E: 42.85x | D_ENDUR: 13.39043515
[2026-02-28 06:46:13] STABLE_SYNC | E: 39.15x | D_ENDUR: 13.39043515
[2026-02-28 06:46:14] STABLE_SYNC | E: 39.37x | D_ENDUR: 13.39043515
[2026-02-28 06:46:15] STABLE_SYNC | E: 39.53x | D_ENDUR: 13.39043515
[2026-02-28 06:46:16] STABLE_SYNC | E: 39.87x | D_ENDUR: 13.39043515
[2026-02-28 06:46:18] STABLE_SYNC | E: 39.51x | D_ENDUR: 13.39043515
[2026-02-28 06:46:19] STABLE_SYNC | E: 41.80x | D_ENDUR: 13.39043515
[2026-02-28 06:46:20] PURPLE_TRANS | E: 42.75x | D_ENDUR: 13.39060615
[2026-02-28 06:46:21] PURPLE_TRANS | E: 46.90x | D_ENDUR: 13.39079375
[2026-02-28 06:46:22] PURPLE_TRANS | E: 43.95x | D_ENDUR: 13.39096956
[2026-02-28 06:46:23] PURPLE_TRANS | E: 46.85x | D_ENDUR: 13.39115695
[2026-02-28 06:46:24] STABLE_SYNC | E: 41.37x | D_ENDUR: 13.39115695
[2026-02-28 06:46:25] PURPLE_TRANS | E: 43.08x | D_ENDUR: 13.39132927
[2026-02-28 06:46:26] PURPLE_TRANS | E: 47.51x | D_ENDUR: 13.39151930
[2026-02-28 06:46:27] PURPLE_TRANS | E: 46.48x | D_ENDUR: 13.39170523
[2026-02-28 06:46:28] PURPLE_TRANS | E: 43.21x | D_ENDUR: 13.39187809
[2026-02-28 06:46:29] PURPLE_TRANS | E: 47.46x | D_ENDUR: 13.39206794
[2026-02-28 06:46:30] PURPLE_TRANS | E: 47.68x | D_ENDUR: 13.39225864
[2026-02-28 06:46:31] PURPLE_TRANS | E: 42.09x | D_ENDUR: 13.39242699
[2026-02-28 06:46:32] PURPLE_TRANS | E: 44.85x | D_ENDUR: 13.39260638
[2026-02-28 06:46:33] PURPLE_TRANS | E: 46.67x | D_ENDUR: 13.39279307
[2026-02-28 06:46:34] STABLE_SYNC | E: 40.36x | D_ENDUR: 13.39279307
[2026-02-28 06:46:35] STABLE_SYNC | E: 41.91x | D_ENDUR: 13.39279307
[2026-02-28 06:46:36] PURPLE_TRANS | E: 49.13x | D_ENDUR: 13.39298960
[2026-02-28 06:46:37] PURPLE_TRANS | E: 47.54x | D_ENDUR: 13.39317977
[2026-02-28 06:46:38] PURPLE_TRANS | E: 46.12x | D_ENDUR: 13.39336424
[2026-02-28 06:46:39] STABLE_SYNC | E: 41.61x | D_ENDUR: 13.39336424
[2026-02-28 06:46:40] PURPLE_TRANS | E: 46.83x | D_ENDUR: 13.39355156
[2026-02-28 06:46:41] PURPLE_TRANS | E: 43.47x | D_ENDUR: 13.39372545
[2026-02-28 06:46:42] PURPLE_TRANS | E: 42.69x | D_ENDUR: 13.39389620
[2026-02-28 06:46:43] PURPLE_TRANS | E: 47.59x | D_ENDUR: 13.39408655
[2026-02-28 06:46:44] PURPLE_TRANS | E: 45.11x | D_ENDUR: 13.39426699
[2026-02-28 06:46:45] STABLE_SYNC | E: 39.48x | D_ENDUR: 13.39426699
[2026-02-28 06:46:46] PURPLE_TRANS | E: 48.63x | D_ENDUR: 13.39446149
[2026-02-28 06:46:47] PURPLE_TRANS | E: 48.50x | D_ENDUR: 13.39465551
[2026-02-28 06:46:48] PURPLE_TRANS | E: 43.90x | D_ENDUR: 13.39483113
[2026-02-28 06:46:50] STABLE_SYNC | E: 40.62x | D_ENDUR: 13.39483113
[2026-02-28 06:46:51] PURPLE_TRANS | E: 46.02x | D_ENDUR: 13.39501519
[2026-02-28 06:46:52] STABLE_SYNC | E: 41.73x | D_ENDUR: 13.39501519
[2026-02-28 06:46:53] STABLE_SYNC | E: 40.11x | D_ENDUR: 13.39501519
[2026-02-28 06:46:54] STABLE_SYNC | E: 41.65x | D_ENDUR: 13.39501519
[2026-02-28 06:46:55] PURPLE_TRANS | E: 42.73x | D_ENDUR: 13.39518612
[2026-02-28 06:46:56] STABLE_SYNC | E: 40.72x | D_ENDUR: 13.39518612
[2026-02-28 06:46:57] STABLE_SYNC | E: 39.36x | D_ENDUR: 13.39518612
[2026-02-28 06:46:58] PURPLE_TRANS | E: 44.04x | D_ENDUR: 13.39536228
[2026-02-28 06:46:59] PURPLE_TRANS | E: 43.42x | D_ENDUR: 13.39553594
[2026-02-28 06:47:00] STABLE_SYNC | E: 40.82x | D_ENDUR: 13.39553594
[2026-02-28 06:47:01] PURPLE_TRANS | E: 42.04x | D_ENDUR: 13.39570411
[2026-02-28 06:47:02] STABLE_SYNC | E: 41.88x | D_ENDUR: 13.39570411
[2026-02-28 06:47:03] PURPLE_TRANS | E: 43.47x | D_ENDUR: 13.39587801
[2026-02-28 06:47:04] PURPLE_TRANS | E: 49.18x | D_ENDUR: 13.39607474
[2026-02-28 06:47:05] PURPLE_TRANS | E: 45.55x | D_ENDUR: 13.39625695
[2026-02-28 06:47:06] PURPLE_TRANS | E: 46.07x | D_ENDUR: 13.39644124
[2026-02-28 06:47:07] PURPLE_TRANS | E: 47.76x | D_ENDUR: 13.39663229
[2026-02-28 06:47:08] STABLE_SYNC | E: 39.63x | D_ENDUR: 13.39663229
[2026-02-28 06:47:09] PURPLE_TRANS | E: 48.52x | D_ENDUR: 13.39682636
[2026-02-28 06:47:10] PURPLE_TRANS | E: 42.73x | D_ENDUR: 13.39699727
[2026-02-28 06:47:11] PURPLE_TRANS | E: 43.63x | D_ENDUR: 13.39717178
[2026-02-28 06:47:12] PURPLE_TRANS | E: 45.29x | D_ENDUR: 13.39735293
[2026-02-28 06:47:13] PURPLE_TRANS | E: 48.41x | D_ENDUR: 13.39754655
[2026-02-28 06:47:14] PURPLE_TRANS | E: 45.21x | D_ENDUR: 13.39772737
[2026-02-28 06:47:15] PURPLE_TRANS | E: 48.12x | D_ENDUR: 13.39791986
[2026-02-28 06:47:16] STABLE_SYNC | E: 40.30x | D_ENDUR: 13.39791986
[2026-02-28 06:47:17] PURPLE_TRANS | E: 44.04x | D_ENDUR: 13.39809602
[2026-02-28 06:47:18] PURPLE_TRANS | E: 47.87x | D_ENDUR: 13.39828750
[2026-02-28 06:47:19] STABLE_SYNC | E: 39.47x | D_ENDUR: 13.39828750
[2026-02-28 06:47:20] PURPLE_TRANS | E: 46.23x | D_ENDUR: 13.39847242
[2026-02-28 06:47:21] STABLE_SYNC | E: 41.07x | D_ENDUR: 13.39847242
[2026-02-28 06:47:22] PURPLE_TRANS | E: 45.79x | D_ENDUR: 13.39865556
[2026-02-28 06:47:23] STABLE_SYNC | E: 39.31x | D_ENDUR: 13.39865556
[2026-02-28 06:47:24] PURPLE_TRANS | E: 42.78x | D_ENDUR: 13.39882669
[2026-02-28 06:47:26] PURPLE_TRANS | E: 48.52x | D_ENDUR: 13.39902077
[2026-02-28 06:47:27] PURPLE_TRANS | E: 47.24x | D_ENDUR: 13.39920972
[2026-02-28 06:47:28] STABLE_SYNC | E: 39.30x | D_ENDUR: 13.39920972
[2026-02-28 06:47:29] PURPLE_TRANS | E: 49.41x | D_ENDUR: 13.39940734
[2026-02-28 06:47:30] STABLE_SYNC | E: 39.85x | D_ENDUR: 13.39940734
[2026-02-28 06:47:31] PURPLE_TRANS | E: 46.33x | D_ENDUR: 13.39959267
[2026-02-28 06:47:32] PURPLE_TRANS | E: 48.49x | D_ENDUR: 13.39978664
[2026-02-28 06:47:33] PURPLE_TRANS | E: 47.97x | D_ENDUR: 13.39997854
[2026-02-28 06:47:34] STABLE_SYNC | E: 41.72x | D_ENDUR: 13.39997854
[2026-02-28 06:47:35] PURPLE_TRANS | E: 47.08x | D_ENDUR: 13.40016684
[2026-02-28 06:47:36] STABLE_SYNC | E: 40.00x | D_ENDUR: 13.40016684
[2026-02-28 06:47:37] STABLE_SYNC | E: 40.02x | D_ENDUR: 13.40016684
[2026-02-28 06:47:38] PURPLE_TRANS | E: 44.91x | D_ENDUR: 13.40034648
[2026-02-28 06:47:39] STABLE_SYNC | E: 39.03x | D_ENDUR: 13.40034648
[2026-02-28 06:47:40] STABLE_SYNC | E: 41.76x | D_ENDUR: 13.40034648
[2026-02-28 06:47:41] PURPLE_TRANS | E: 46.30x | D_ENDUR: 13.40053166
[2026-02-28 06:47:42] PURPLE_TRANS | E: 49.36x | D_ENDUR: 13.40072910
[2026-02-28 06:47:43] PURPLE_TRANS | E: 44.88x | D_ENDUR: 13.40090863
[2026-02-28 06:47:44] PURPLE_TRANS | E: 42.55x | D_ENDUR: 13.40107883
[2026-02-28 06:47:45] STABLE_SYNC | E: 40.90x | D_ENDUR: 13.40107883
[2026-02-28 06:47:46] PURPLE_TRANS | E: 46.41x | D_ENDUR: 13.40126445
[2026-02-28 06:47:47] STABLE_SYNC | E: 39.41x | D_ENDUR: 13.40126445
[2026-02-28 06:47:48] PURPLE_TRANS | E: 46.94x | D_ENDUR: 13.40145221
[2026-02-28 06:47:49] STABLE_SYNC | E: 41.94x | D_ENDUR: 13.40145221
[2026-02-28 06:47:50] PURPLE_TRANS | E: 44.55x | D_ENDUR: 13.40163042
[2026-02-28 06:47:51] PURPLE_TRANS | E: 48.49x | D_ENDUR: 13.40182437
[2026-02-28 06:47:52] STABLE_SYNC | E: 41.40x | D_ENDUR: 13.40182437
[2026-02-28 06:47:53] PURPLE_TRANS | E: 43.50x | D_ENDUR: 13.40199839
[2026-02-28 06:47:54] PURPLE_TRANS | E: 49.25x | D_ENDUR: 13.40219540
[2026-02-28 06:47:55] PURPLE_TRANS | E: 43.88x | D_ENDUR: 13.40237092
[2026-02-28 06:47:56] STABLE_SYNC | E: 40.78x | D_ENDUR: 13.40237092
[2026-02-28 06:47:57] PURPLE_TRANS | E: 43.04x | D_ENDUR: 13.40254307
[2026-02-28 06:47:58] PURPLE_TRANS | E: 45.85x | D_ENDUR: 13.40272646
[2026-02-28 06:47:59] PURPLE_TRANS | E: 45.85x | D_ENDUR: 13.40290988
[2026-02-28 06:48:00] PURPLE_TRANS | E: 45.81x | D_ENDUR: 13.40309311
